,date,Presenter,Title
1,25-Feb-22,Ethan Herron,An Introduction to Graph Neural Networks and Their Applications. 
2,4-Mar-22,Fateme Fotouhi Ardakani,Slicing Aided Hyper Inference and Fine-tuning for Small Object Detection
3,11-Mar-22,Yan Wang,Distribution-Free Prediction Intervals: An Introduction
4,18-Mar-22,-,Spring Break
5,25-Mar-22,Balaji Pokuri,ML for Organic Electronics: Challenges and Remedies
6,1-Apr-22,Zhiling Gu,Adaptive Conformal Inference under Distribution Shift
7,8-Apr-22,Chih-Hsuan (Bella) Yang,Natural language Processing for material discovery
8,15-Apr-22,XupingTian,Adaptive gradient methods with energy and momentum
9,22-Apr-22,-,TrAC SciML Workshop
10,4-Oct-22,Anushrut Jignasu,Zero-Shot Text-Guided 3D Object Generation
11,19-Oct-22,Ethan Herron,Diffusion Models
12,2-Nov-22,Timilehin Ayanlade,Attention Models
13,16-Nov-22,Zahid Hasan,Vision Language Models
14,27-Jan-23,Ethan Herron and Mahsa Khosravi,Highly accurate protein structure prediction with AlphaFold
15,27-Jan-23,Ethan Herron and Mahsa Khosravi,BoT-SORT: Robust Associations Multi-Pedestrian Tracking
16,17-Feb-23,Timilehin Ayanlade and Qisai Liu,"Stable Diffusion Model, A Generalist Agent"
17,24-Feb-23,Arbab Arshad and Anushrut Jignasu,Instant Neural Graphics Primitives with a Multiresolution Hash Encoding
18,24-Feb-23,Arbab Arshad and Anushrut Jignasu,Block-NeRF: Scalable Large Scene Neural View Synthesis
19,3-Mar-23,Fateme Fotouhi,"How Close is ChatGPT to Human Experts? Comparison Corpus Evaluation, and Detection"
