Paper ID,"	Title","	Authors"
1,"	A Unified Treatment of Partial Stragglers and Sparse Matrices in Coded Matrix Computation","	Anindya Bijoy Das and Aditya Ramamoorthy"
2,"	Multi-Objective Materials Bayesian Optimization with Active Learning of Design Constraints - Application to Multi-Principal-Element Alloys","	Prashant Singh; D. Khatamsaza;  B. Vela; D. Allair;  R. Arroyave; D. D Johnson"
3,"	Deep Learning-based 3D Multigrid Topology Optimization of Manufacturable Designs", Anushrut Jignasu; Jaydeep Rade; Ethan Herron; Aditya Balu; Adarsh Krishnamurthy
4,"	Deep Learning Guided Navigation of Live Cells for AFM","	Jaydeep Rade; Juntao Zhang; Soumik Sarkar; Adarsh Krishnamurthy; Juan Ren; Anwesha Sarkar"
5,"	LSSVR + PSO = Mean Field Game","	Juheung Kim"
6,"	Adaptive Gradient Methods with Energy and Momentum","	Hailiang Liu ; Xuping Tian"
7,"	ByzShield: An Efficient and Robust System for Distributed Training","	Konstantinos Konstantinidis ; Aditya Ramamoorthy"
8,"	Generative Modeling For Structural Topology Optimization Via Optimized Latent Representations","	Ethan Herron; Jaydeep Rade; Xian Yeow Lee; Aditya Balu; Adarsh Krishnamurthy; Soumik Sarkar"
9,"	Feedback learning for machine perception with system-level objectives","	Weisi Fan; Sin Yong Tan; Tichakorn Wongpiromsarn; Soumik Sarkar"
10,"	Cell-average based neural network fast solvers for time dependent partial differential equations","	Jue Yan"
11,"	Improvements and New Applications of Machine Learning Tools in Neutrino Physics","	Thomas Karl Warburton"
12,"	A Graph Policy Network Approach for Volt-Var Control in Power Distribution Systems","	Xian Yeow Lee; Soumik Sarkar; Yubo Wang"
13,InvNet: Generative Invariance Networks for Microstructure Reconstruction,"Balaji S Sarath Pokuri, Baskar Ganapathysubramanian"
14,Molecule Space Exploration: Conditioned Latent Representations via Large Scale Self-supervised learning,"Chih-Hsuan Yang, Hsin-Jung Yang, Vinayak Bhat, Parker Sornberger, Balaji Sesha Sarath Pokuri, Soumik Sarkar, Chad Risko, Baskar Ganapathysubramanian"
15,Neural Finite Element Solutions with Theoretical Bounds for Parametric PDEs,"Biswajit Khara, Aditya Balu, Ameya Joshi, Soumik Sarkar, Chinmay Hegde, Adarsh Krishnamurthy, Baskar Ganapathysubramanian"
